,address,rent,scrape_date,houseno,sttype,stname,zipcode,address_id
833,"14808 Baytown Ct, Huntersville, NC 28078",2695,2023-02-25,14808,CT,BAYTOWN,28078,14808_BAYTOWN_CT_28078
736,"1739 Fleetwood Dr, Charlotte, NC 28208",2695,2023-02-25,1739,DR,FLEETWOOD,28208,1739_FLEETWOOD_DR_28208
526,"17438 Invermere Ave, Huntersville, NC 28078",2695,2023-02-25,17438,AVE,INVERMERE,28078,17438_INVERMERE_AVE_28078
294,"1046 Willow Bend Dr, Fort Mill, SC 29708",2690,2023-02-24,1046,DR,WILLOW BEND,29708,1046_WILLOW BEND_DR_29708
468,"16330 Wavenly House Dr, Charlotte, NC 28273",2665,2023-02-25,16330,DR,WAVENLY HOUSE,28273,16330_WAVENLY HOUSE_DR_28273
162,"11609 Sidney Crest Ave, Charlotte, NC 28213",2654,2023-02-25,11609,AVE,SIDNEY CREST,28213,11609_SIDNEY CREST_AVE_28213
630,"8929 Myra Way, Charlotte, NC 28215",2650,2023-02-25,8929,WAY,MYRA,28215,8929_MYRA_WAY_28215
269,"15019 Ockeechobee Ct, Mint Hill, NC 28227",2650,2023-02-24,15019,CT,OCKEECHOBEE,28227,15019_OCKEECHOBEE_CT_28227
680,"8916 Myra Way, Charlotte, NC 28215",2650,2023-02-25,8916,WAY,MYRA,28215,8916_MYRA_WAY_28215
612,"3215 Shadowy Retreat Dr, Stallings, NC 28104",2650,2023-02-24,3215,DR,SHADOWY RETREAT,28104,3215_SHADOWY RETREAT_DR_28104
402,"14122 Ridgewater Way, Charlotte, NC 28278",2650,2023-02-25,14122,WAY,RIDGEWATER,28278,14122_RIDGEWATER_WAY_28278
375,"12142 Flatbush Dr, Huntersville, NC 28078",2645,2023-02-25,12142,DR,FLATBUSH,28078,12142_FLATBUSH_DR_28078
30,"8236 Paw Valley Ln, Charlotte, NC 28214",2630,2023-02-25,8236,LN,PAW VALLEY,28214,8236_PAW VALLEY_LN_28214
769,"636 Ethridge Pl, Charlotte, NC 28216",2630,2023-02-25,636,PL,ETHRIDGE,28216,636_ETHRIDGE_PL_28216
158,"16002 Raptor Ct, Charlotte, NC 28278",2625,2023-02-24,16002,CT,RAPTOR,28278,16002_RAPTOR_CT_28278
25,"9831 Coriander Ct, Charlotte, NC 28215",2620,2023-02-25,9831,CT,CORIANDER,28215,9831_CORIANDER_CT_28215
114,"8540 Glade Ct, Huntersville, NC 28078",2600,2023-02-24,8540,CT,GLADE,28078,8540_GLADE_CT_28078
259,"15533 Capps Rd, Charlotte, NC 28278",2600,2023-02-24,15533,RD,CAPPS,28278,15533_CAPPS_RD_28278
751,"1944 Garibaldi Ave, Charlotte, NC 28208",2600,2023-02-25,1944,AVE,GARIBALDI,28208,1944_GARIBALDI_AVE_28208
773,"632 Ethridge Pl, Charlotte, NC 28216",2600,2023-02-25,632,PL,ETHRIDGE,28216,632_ETHRIDGE_PL_28216
765,"644 Ethridge Pl, Charlotte, NC 28216",2600,2023-02-25,644,PL,ETHRIDGE,28216,644_ETHRIDGE_PL_28216
701,"711 McAlway Rd, Charlotte, NC 28211",2600,2023-02-25,711,RD,MCALWAY,28211,711_MCALWAY_RD_28211
770,"640 Ethridge Pl, Charlotte, NC 28216",2600,2023-02-25,640,PL,ETHRIDGE,28216,640_ETHRIDGE_PL_28216
349,"9722 Mitchell Glen Dr, Charlotte, NC 28277",2595,2023-02-25,9722,DR,MITCHELL GLEN,28277,9722_MITCHELL GLEN_DR_28277
582,"8730 Westmoreland Lake Dr, Cornelius, NC 28031",2595,2023-02-25,8730,DR,WESTMORELAND LAKE,28031,8730_WESTMORELAND LAKE_DR_28031
167,"15614 Normans Landing Dr, Charlotte, NC 28273",2595,2023-02-25,15614,DR,NORMANS LANDING,28273,15614_NORMANS LANDING_DR_28273
264,"16014 Seaguard Cv, Steele Creek, NC 28278",2595,2023-02-24,16014,CV,SEAGUARD,28278,16014_SEAGUARD_CV_28278
267,"3325 Lisburn St, Mint Hill, NC 28227",2595,2023-02-25,3325,ST,LISBURN,28227,3325_LISBURN_ST_28227
486,"18318 McKee Rd, Charlotte, NC 28278",2595,2023-02-25,18318,RD,MCKEE,28278,18318_MCKEE_RD_28278
254,"17304 Commons Crossing Dr, Charlotte, NC 28277",2595,2023-02-25,17304,DR,COMMONS CROSSING,28277,17304_COMMONS CROSSING_DR_28277
419,"1105 Blackmoor Rd, Waxhaw, NC 28173",2595,2023-02-24,1105,RD,BLACKMOOR,28173,1105_BLACKMOOR_RD_28173
191,"2213 Highland Park Dr, Charlotte, NC 28269",2595,2023-02-25,2213,DR,HIGHLAND PARK,28269,2213_HIGHLAND PARK_DR_28269
237,"15439 Superior St, Charlotte, NC 28273",2590,2023-02-24,15439,ST,SUPERIOR,28273,15439_SUPERIOR_ST_28273
621,"17216 Knoxwood Dr, Huntersville, NC 28078",2575,2023-02-24,17216,DR,KNOXWOOD,28078,17216_KNOXWOOD_DR_28078
560,"17314 Alydar Commons Ln, Charlotte, NC 28278",2550,2023-02-25,17314,LN,ALYDAR COMMONS,28278,17314_ALYDAR COMMONS_LN_28278
369,"1233 Queen Lyon Ct, Charlotte, NC 28205",2550,2023-02-25,1233,CT,QUEEN LYON,28205,1233_QUEEN LYON_CT_28205
606,"17330 Alydar Commons Ln, Charlotte, NC 28278",2550,2023-02-25,17330,LN,ALYDAR COMMONS,28278,17330_ALYDAR COMMONS_LN_28278
423,"4124 Poplin Grove Dr, Indian Trail, NC 28079",2550,2023-02-24,4124,DR,POPLIN GROVE,28079,4124_POPLIN GROVE_DR_28079
782,"7421 Lamplighter Close Dr, Matthews, NC 28105",2545,2023-02-25,7421,DR,LAMPLIGHTER CLOSE,28105,7421_LAMPLIGHTER CLOSE_DR_28105
649,"7236 Connan Ln, Charlotte, NC 28226",2545,2023-02-25,7236,LN,CONNAN,28226,7236_CONNAN_LN_28226
38,"11200 Clayford Rdg, Charlotte, NC 28215",2540,2023-02-25,11200,RDG,CLAYFORD,28215,11200_CLAYFORD_RDG_28215
33,"2136 Light Brigade Dr, Matthews, NC 28105",2530,2023-02-25,2136,DR,LIGHT BRIGADE,28105,2136_LIGHT BRIGADE_DR_28105
562,"12829 Hamilton Rd, Charlotte, NC 28273",2525,2023-02-25,12829,RD,HAMILTON,28273,12829_HAMILTON_RD_28273
178,"5536 Kool Springs Dr, Mint Hill, NC 28227",2525,2023-02-25,5536,DR,KOOL SPRINGS,28227,5536_KOOL SPRINGS_DR_28227
316,"1533 Hawthorne Dr, Indian Trail, NC 28079",2500,2023-02-24,1533,DR,HAWTHORNE,28079,1533_HAWTHORNE_DR_28079
328,"3133 Maywood Dr, Charlotte, NC 28205",2500,2023-02-25,3133,DR,MAYWOOD,28205,3133_MAYWOOD_DR_28205
270,"1008 Council Fire Cir, Indian Trail, NC 28079",2500,2023-02-24,1008,CIR,COUNCIL FIRE,28079,1008_COUNCIL FIRE_CIR_28079
62,"4009 Brandie Glen Rd, Charlotte, NC 28269",2500,2023-02-24,4009,RD,BRANDIE GLEN,28269,4009_BRANDIE GLEN_RD_28269
290,"3223 Frederick Pl, Charlotte, NC 28210",2500,2023-02-25,3223,PL,FREDERICK,28210,3223_FREDERICK_PL_28210
707,"10223 Calloway Dr, Charlotte, NC 28277",2500,2023-02-25,10223,DR,CALLOWAY,28277,10223_CALLOWAY_DR_28277
340,"16020 Sunninghill Park Rd, Charlotte, NC 28277",2500,2023-02-25,16020,RD,SUNNINGHILL PARK,28277,16020_SUNNINGHILL PARK_RD_28277
440,"6707 Louisburg Square Ln, Charlotte, NC 28210",2500,2023-02-24,6707,LN,LOUISBURG SQUARE,28210,6707_LOUISBURG SQUARE_LN_28210
370,"8902 Firestreak Dr, Charlotte, NC 28216",2500,2023-02-24,8902,DR,FIRESTREAK,28216,8902_FIRESTREAK_DR_28216
173,"11006 Dekalb Pl, Charlotte, NC 28262",2500,2023-02-25,11006,PL,DEKALB,28262,11006_DEKALB_PL_28262
802,"14301 Pommel Ln, Matthews, NC 28105",2500,2023-02-25,14301,LN,POMMEL,28105,14301_POMMEL_LN_28105
259,"905 Spruce St, Charlotte, NC 28203",2500,2023-02-25,905,ST,SPRUCE,28203,905_SPRUCE_ST_28203
797,"133 Cedar Knoll Cir, Pineville, NC 28134",2500,2023-02-25,133,CIR,CEDAR KNOLL,28134,133_CEDAR KNOLL_CIR_28134
343,"12820 Canterbury Castle Dr, Charlotte, NC 28273",2500,2023-02-24,12820,DR,CANTERBURY CASTLE,28273,12820_CANTERBURY CASTLE_DR_28273
213,"3509 Sargeant Dr, Charlotte, NC 28217",2500,2023-02-25,3509,DR,SARGEANT,28217,3509_SARGEANT_DR_28217
356,"11018 Amherst Glen Dr, Charlotte, NC 28213",2500,2023-02-24,11018,DR,AMHERST GLEN,28213,11018_AMHERST GLEN_DR_28213
353,"1150 West Blvd, Charlotte, NC 28208",2500,2023-02-25,1150,BLVD,WEST,28208,1150_WEST_BLVD_28208
123,"826 Windage Way, Pineville, NC 28134",2500,2023-02-25,826,WAY,WINDAGE,28134,826_WINDAGE_WAY_28134
131,"15314 S Birkdale Commons Pkwy, Huntersville, NC 28078",2500,2023-02-25,15314,PKWY,S BIRKDALE COMMONS,28078,15314_S BIRKDALE COMMONS_PKWY_28078
217,"9222 Cotton Gum Rd, Charlotte, NC 28227",2500,2023-02-24,9222,RD,COTTON GUM,28227,9222_COTTON GUM_RD_28227
99,"1225 Colgher St, Mint Hill, NC 28227",2500,2023-02-25,1225,ST,COLGHER,28227,1225_COLGHER_ST_28227
371,"2519 Arbor Loop Dr, Charlotte, NC 28217",2500,2023-02-25,2519,DR,ARBOR LOOP,28217,2519_ARBOR LOOP_DR_28217
119,"13512 David Jennings Ave, Charlotte, NC 28213",2500,2023-02-25,13512,AVE,DAVID JENNINGS,28213,13512_DAVID JENNINGS_AVE_28213
192,"6513 Rockwell Blvd, Charlotte, NC 28269",2500,2023-02-24,6513,BLVD,ROCKWELL,28269,6513_ROCKWELL_BLVD_28269
488,"1915 Overhill Rd, Charlotte, NC 28211",2500,2023-02-25,1915,RD,OVERHILL,28211,1915_OVERHILL_RD_28211
632,"12120 Ardrey Park Dr, Charlotte, NC 28277",2500,2023-02-24,12120,DR,ARDREY PARK,28277,12120_ARDREY PARK_DR_28277
300,"1520 April Knoll Ct, Huntersville, NC 28078",2499,2023-02-24,1520,CT,APRIL KNOLL,28078,1520_APRIL KNOLL_CT_28078
549,"8807 Gray Willow Rd, Charlotte, NC 28227",2495,2023-02-25,8807,RD,GRAY WILLOW,28227,8807_GRAY WILLOW_RD_28227
265,"7125 Garrett Ct, Charlotte, NC 28214",2495,2023-02-25,7125,CT,GARRETT,28214,7125_GARRETT_CT_28214
252,"7120 Garrett Ct, Charlotte, NC 28214",2495,2023-02-25,7120,CT,GARRETT,28214,7120_GARRETT_CT_28214
439,"11831 Painted Tree Rd, Charlotte, NC 28226",2495,2023-02-25,11831,RD,PAINTED TREE,28226,11831_PAINTED TREE_RD_28226
633,"5004 Eagle Creek Dr, Charlotte, NC 28269",2495,2023-02-25,5004,DR,EAGLE CREEK,28269,5004_EAGLE CREEK_DR_28269
251,"7209 Garrett Ct, Charlotte, NC 28214",2495,2023-02-25,7209,CT,GARRETT,28214,7209_GARRETT_CT_28214
547,"10920 Fox Mill Ln, Charlotte, NC 28277",2495,2023-02-25,10920,LN,FOX MILL,28277,10920_FOX MILL_LN_28277
110,"13641 Coram Pl, Charlotte, NC 28213",2495,2023-02-25,13641,PL,CORAM,28213,13641_CORAM_PL_28213
528,"12733 Oakton Hunt Dr, Charlotte, NC 28262",2495,2023-02-24,12733,DR,OAKTON HUNT,28262,12733_OAKTON HUNT_DR_28262
603,"10427 Blackstock Rd, Huntersville, NC 28078",2485,2023-02-24,10427,RD,BLACKSTOCK,28078,10427_BLACKSTOCK_RD_28078
619,"11067 Lawyers Rd, Charlotte, NC 28227",2475,2023-02-25,11067,RD,LAWYERS,28227,11067_LAWYERS_RD_28227
262,"2219 Celia Ave, Charlotte, NC 28216",2475,2023-02-24,2219,AVE,CELIA,28216,2219_CELIA_AVE_28216
116,"8217 Escaflowne Ave, Charlotte, NC 28216",2460,2023-02-24,8217,AVE,ESCAFLOWNE,28216,8217_ESCAFLOWNE_AVE_28216
186,"8131 Rittenhouse Cir, Charlotte, NC 28270",2450,2023-02-25,8131,CIR,RITTENHOUSE,28270,8131_RITTENHOUSE_CIR_28270
246,"3613 Hatwynn Rd, Charlotte, NC 28269",2450,2023-02-24,3613,RD,HATWYNN,28269,3613_HATWYNN_RD_28269
347,"9800 Fairlea Dr, Charlotte, NC 28269",2450,2023-02-24,9800,DR,FAIRLEA,28269,9800_FAIRLEA_DR_28269
491,"2430 Alyssa Ln, Charlotte, NC 28208",2450,2023-02-25,2430,LN,ALYSSA,28208,2430_ALYSSA_LN_28208
372,"10218 Caldwell Forest Dr, Charlotte, NC 28213",2450,2023-02-24,10218,DR,CALDWELL FOREST,28213,10218_CALDWELL FOREST_DR_28213
610,"7219 Cypress Ridge Dr, Charlotte, NC 28262",2450,2023-02-25,7219,DR,CYPRESS RIDGE,28262,7219_CYPRESS RIDGE_DR_28262
711,"7035 Thornrose Dr, Charlotte, NC 28210",2449,2023-02-25,7035,DR,THORNROSE,28210,7035_THORNROSE_DR_28210
413,"11327 Sidney Crest Ave, Charlotte, NC 28213",2445,2023-02-25,11327,AVE,SIDNEY CREST,28213,11327_SIDNEY CREST_AVE_28213
594,"14452 Waterlyn Dr, Charlotte, NC 28278",2435,2023-02-25,14452,DR,WATERLYN,28278,14452_WATERLYN_DR_28278
476,"6211 Ash Cove Ln, Charlotte, NC 28269",2425,2023-02-25,6211,LN,ASH COVE,28269,6211_ASH COVE_LN_28269
763,"214 Oakton Glen Ct, Charlotte, NC 28262",2424,2023-02-25,214,CT,OAKTON GLEN,28262,214_OAKTON GLEN_CT_28262
218,"3632 Alexander Forest Dr, Charlotte, NC 28269",2420,2023-02-24,3632,DR,ALEXANDER FOREST,28269,3632_ALEXANDER FOREST_DR_28269
63,"10418 Katie Creek Ct, Charlotte, NC 28213",2420,2023-02-24,10418,CT,KATIE CREEK,28213,10418_KATIE CREEK_CT_28213
23,"14416 Lake Crossing Dr, Charlotte, NC 28278",2415,2023-02-25,14416,DR,LAKE CROSSING,28278,14416_LAKE CROSSING_DR_28278
795,"8719 Lenox Pointe Dr, Charlotte, NC 28273",2415,2023-02-25,8719,DR,LENOX POINTE,28273,8719_LENOX POINTE_DR_28273
550,"5721 Maylandia Rd, Charlotte, NC 28269",2415,2023-02-25,5721,RD,MAYLANDIA,28269,5721_MAYLANDIA_RD_28269
481,"5224 Silabert Ave, Charlotte, NC 28205",2400,2023-02-25,5224,AVE,SILABERT,28205,5224_SILABERT_AVE_28205
325,"5170 Lincrest Pl, Charlotte, NC 28211",2400,2023-02-25,5170,PL,LINCREST,28211,5170_LINCREST_PL_28211
349,"318 Katonah Ave, Charlotte, NC 28208",2400,2023-02-24,318,AVE,KATONAH,28208,318_KATONAH_AVE_28208
251,"15026 Castlebridge Ln, Matthews, NC 28104",2400,2023-02-24,15026,LN,CASTLEBRIDGE,28104,15026_CASTLEBRIDGE_LN_28104
740,"6132 Langwell Ln, Charlotte, NC 28278",2400,2023-02-25,6132,LN,LANGWELL,28278,6132_LANGWELL_LN_28278
507,"1413 Harrill St, Charlotte, NC 28205",2400,2023-02-25,1413,ST,HARRILL,28205,1413_HARRILL_ST_28205
545,"3120 Twin Falls Ln, Matthews, NC 28105",2400,2023-02-24,3120,LN,TWIN FALLS,28105,3120_TWIN FALLS_LN_28105
147,"2701 Phillips Ave, Charlotte, NC 28208",2400,2023-02-25,2701,AVE,PHILLIPS,28208,2701_PHILLIPS_AVE_28208
305,"4918 White Oak Rd, Charlotte, NC 28210",2400,2023-02-24,4918,RD,WHITE OAK,28210,4918_WHITE OAK_RD_28210
528,"17201 Commons Crossing Dr, Charlotte, NC 28277",2399,2023-02-25,17201,DR,COMMONS CROSSING,28277,17201_COMMONS CROSSING_DR_28277
225,"8731 DARCY HOPKINS DR, CHARLOTTE, NC 28277",2399,2023-02-24,8731,DR,DARCY HOPKINS,28277,8731_DARCY HOPKINS_DR_28277
573,"13107 Kenworth Rd, Charlotte, NC 28278",2395,2023-02-25,13107,RD,KENWORTH,28278,13107_KENWORTH_RD_28278
640,"4505 Lawrence Daniel Dr, Matthews, NC 28104",2395,2023-02-24,4505,DR,LAWRENCE DANIEL,28104,4505_LAWRENCE DANIEL_DR_28104
401,"3121 Victoria Brook Ln, Charlotte, NC 28208",2395,2023-02-25,3121,LN,VICTORIA BROOK,28208,3121_VICTORIA BROOK_LN_28208
396,"10615 Forest Dr, Matthews, NC 28105",2395,2023-02-24,10615,DR,FOREST,28105,10615_FOREST_DR_28105
429,"8914 Driftwood Commons Ct, Mint Hill, NC 28227",2395,2023-02-25,8914,CT,DRIFTWOOD COMMONS,28227,8914_DRIFTWOOD COMMONS_CT_28227
399,"10810 Claude Freeman Dr, Charlotte, NC 28262",2395,2023-02-25,10810,DR,CLAUDE FREEMAN,28262,10810_CLAUDE FREEMAN_DR_28262
346,"11920 Journeys End Trl, Huntersville, NC 28078",2395,2023-02-25,11920,TRL,JOURNEYS END,28078,11920_JOURNEYS END_TRL_28078
445,"4301 Huntley Glen Dr, Pineville, NC 28134",2395,2023-02-25,4301,DR,HUNTLEY GLEN,28134,4301_HUNTLEY GLEN_DR_28134
386,"10418 Glenmeade Rd, Cornelius, NC 28031",2395,2023-02-25,10418,RD,GLENMEADE,28031,10418_GLENMEADE_RD_28031
616,"159 Sea Island Blvd, Fort Mill, SC 29708",2395,2023-02-24,159,BLVD,SEA ISLAND,29708,159_SEA ISLAND_BLVD_29708
143,"757 Montford Dr, Charlotte, NC 28209",2395,2023-02-25,757,DR,MONTFORD,28209,757_MONTFORD_DR_28209
471,"3410 Cole Mill Rd, Charlotte, NC 28270",2395,2023-02-24,3410,RD,COLE MILL,28270,3410_COLE MILL_RD_28270
563,"2336 Equestrian Dr, Matthews, NC 28105",2395,2023-02-24,2336,DR,EQUESTRIAN,28105,2336_EQUESTRIAN_DR_28105
407,"1700 Bonnie Ln, Charlotte, NC 28213",2390,2023-02-25,1700,LN,BONNIE,28213,1700_BONNIE_LN_28213
34,"9818 Steele Meadow Rd, Charlotte, NC 28273",2385,2023-02-25,9818,RD,STEELE MEADOW,28273,9818_STEELE MEADOW_RD_28273
367,"4215 Huntley Glen Dr, Pineville, NC 28134",2380,2023-02-25,4215,DR,HUNTLEY GLEN,28134,4215_HUNTLEY GLEN_DR_28134
336,"6106 Glendock Ct, Charlotte, NC 28269",2375,2023-02-25,6106,CT,GLENDOCK,28269,6106_GLENDOCK_CT_28269
651,"2336 Heathershire Ln, Matthews, NC 28105",2375,2023-02-24,2336,LN,HEATHERSHIRE,28105,2336_HEATHERSHIRE_LN_28105
220,"9426 Harris Glen Dr, Charlotte, NC 28269",2370,2023-02-24,9426,DR,HARRIS GLEN,28269,9426_HARRIS GLEN_DR_28269
417,"16211 Long Talon Way, Charlotte, NC 28278",2365,2023-02-25,16211,WAY,LONG TALON,28278,16211_LONG TALON_WAY_28278
153,"2316 Godsey Wood Dr, Charlotte, NC 28213",2365,2023-02-25,2316,DR,GODSEY WOOD,28213,2316_GODSEY WOOD_DR_28213
140,"3018 Hubbard Rd, Charlotte, NC 28269",2365,2023-02-24,3018,RD,HUBBARD,28269,3018_HUBBARD_RD_28269
479,"5022 Silabert Ave, Charlotte, NC 28205",2365,2023-02-25,5022,AVE,SILABERT,28205,5022_SILABERT_AVE_28205
327,"5922 Swanston Dr, Charlotte, NC 28269",2355,2023-02-25,5922,DR,SWANSTON,28269,5922_SWANSTON_DR_28269
28,"8525 Ridgeline Ln, Charlotte, NC 28269",2355,2023-02-24,8525,LN,RIDGELINE,28269,8525_RIDGELINE_LN_28269
474,"1018 Yellow Bee Rd, Indian Trail, NC 28079",2355,2023-02-24,1018,RD,YELLOW BEE,28079,1018_YELLOW BEE_RD_28079
422,"7612 Brookwood Valley Ln, Mint Hill, NC 28227",2350,2023-02-24,7612,LN,BROOKWOOD VALLEY,28227,7612_BROOKWOOD VALLEY_LN_28227
480,"341 Johnston Dr, Pineville, NC 28134",2350,2023-02-25,341,DR,JOHNSTON,28134,341_JOHNSTON_DR_28134
289,"3408 Commonwealth Ave, Charlotte, NC 28205",2350,2023-02-25,3408,AVE,COMMONWEALTH,28205,3408_COMMONWEALTH_AVE_28205
592,"9800 Shopton Rd W, Charlotte, NC 28278",2350,2023-02-24,9800,W,SHOPTON RD,28278,9800_SHOPTON RD_W_28278
470,"10886 River Oaks Dr NW, Concord, NC 28027",2350,2023-02-24,10886,NW,RIVER OAKS DR,28027,10886_RIVER OAKS DR_NW_28027
100,"3109 Barringer Dr, Charlotte, NC 28217",2350,2023-02-25,3109,DR,BARRINGER,28217,3109_BARRINGER_DR_28217
733,"2005 Wood Dale Trl, Charlotte, NC 28217",2349,2023-02-25,2005,TRL,WOOD DALE,28217,2005_WOOD DALE_TRL_28217
790,"15236 De Havilland Dr, Charlotte, NC 28278",2345,2023-02-25,15236,DR,DE HAVILLAND,28278,15236_DE HAVILLAND_DR_28278
452,"11707 Windy Mist Way, Huntersville, NC 28078",2345,2023-02-25,11707,WAY,WINDY MIST,28078,11707_WINDY MIST_WAY_28078
484,"14203 Riding Hill Ave, Charlotte, NC 28213",2345,2023-02-25,14203,AVE,RIDING HILL,28213,14203_RIDING HILL_AVE_28213
607,"3017 Early Rise Ave, Indian Trail, NC 28079",2345,2023-02-24,3017,AVE,EARLY RISE,28079,3017_EARLY RISE_AVE_28079
109,"9003 Mapledale Ct, Cornelius, NC 28031",2345,2023-02-24,9003,CT,MAPLEDALE,28031,9003_MAPLEDALE_CT_28031
566,"15224 Birchfield Ct, Charlotte, NC 28277",2345,2023-02-25,15224,CT,BIRCHFIELD,28277,15224_BIRCHFIELD_CT_28277
261,"3106 Edmonton Pl, Charlotte, NC 28269",2325,2023-02-24,3106,PL,EDMONTON,28269,3106_EDMONTON_PL_28269
807,"1729 Sugar Hollow Dr, Charlotte, NC 28214",2325,2023-02-25,1729,DR,SUGAR HOLLOW,28214,1729_SUGAR HOLLOW_DR_28214
99,"17224 Shadow Bark Dr, Cornelius, NC 28031",2325,2023-02-24,17224,DR,SHADOW BARK,28031,17224_SHADOW BARK_DR_28031
105,"1139 Bloom Wood Ln, Matthews, NC 28105",2320,2023-02-24,1139,LN,BLOOM WOOD,28105,1139_BLOOM WOOD_LN_28105
144,"8909 Lyleton Ln, Charlotte, NC 28269",2315,2023-02-24,8909,LN,LYLETON,28269,8909_LYLETON_LN_28269
98,"432 Fairgreen Dr, Charlotte, NC 28217",2310,2023-02-25,432,DR,FAIRGREEN,28217,432_FAIRGREEN_DR_28217
100,"5601 Hammermill Dr, Harrisburg, NC 28075",2305,2023-02-24,5601,DR,HAMMERMILL,28075,5601_HAMMERMILL_DR_28075
536,"2808 Bancroft St, Charlotte, NC 28206",2300,2023-02-24,2808,ST,BANCROFT,28206,2808_BANCROFT_ST_28206
150,"12220 Diablo Dr, Huntersville, NC 28078",2300,2023-02-25,12220,DR,DIABLO,28078,12220_DIABLO_DR_28078
306,"3101 St James Pl, Charlotte, NC 28205",2300,2023-02-24,3101,PL,ST JAMES,28205,3101_ST JAMES_PL_28205
302,"701 Windage Wy, Pineville, NC 28134",2300,2023-02-24,701,WY,WINDAGE,28134,701_WINDAGE_WY_28134
287,"1744 Wilmore Dr, Charlotte, NC 28203",2300,2023-02-25,1744,DR,WILMORE,28203,1744_WILMORE_DR_28203
293,"1001 Fairground St, Charlotte, NC 28208",2300,2023-02-25,1001,ST,FAIRGROUND,28208,1001_FAIRGROUND_ST_28208
329,"6003 Eleanor Rigby Rd, Charlotte, NC 28278",2300,2023-02-25,6003,RD,ELEANOR RIGBY,28278,6003_ELEANOR RIGBY_RD_28278
247,"1118 Mineral Springs Rd, Charlotte, NC 28262",2300,2023-02-25,1118,RD,MINERAL SPRINGS,28262,1118_MINERAL SPRINGS_RD_28262
460,"11342 Walland Ln, Charlotte, NC 28273",2299,2023-02-24,11342,LN,WALLAND,28273,11342_WALLAND_LN_28273
583,"13727 Fairplains Ct, Charlotte, NC 28278",2299,2023-02-24,13727,CT,FAIRPLAINS,28278,13727_FAIRPLAINS_CT_28278
562,"5437 Stowe Derby Dr, Charlotte, NC 28278",2295,2023-02-24,5437,DR,STOWE DERBY,28278,5437_STOWE DERBY_DR_28278
229,"2009 Brookdale Ave, Charlotte, NC 28210",2295,2023-02-25,2009,AVE,BROOKDALE,28210,2009_BROOKDALE_AVE_28210
319,"7124 Agava Ln, Charlotte, NC 28215",2295,2023-02-24,7124,LN,AGAVA,28215,7124_AGAVA_LN_28215
477,"8732 Chalkstone Rd, Charlotte, NC 28216",2295,2023-02-25,8732,RD,CHALKSTONE,28216,8732_CHALKSTONE_RD_28216
624,"9518 Hamel St, Charlotte, NC 28215",2295,2023-02-25,9518,ST,HAMEL,28215,9518_HAMEL_ST_28215
601,"7339 Cuddington Dr, Charlotte, NC 28215",2295,2023-02-25,7339,DR,CUDDINGTON,28215,7339_CUDDINGTON_DR_28215
347,"4504 Bellmore Ct, Charlotte, NC 28269",2295,2023-02-25,4504,CT,BELLMORE,28269,4504_BELLMORE_CT_28269
607,"12848 Canton Side Ave, Charlotte, NC 28273",2295,2023-02-25,12848,AVE,CANTON SIDE,28273,12848_CANTON SIDE_AVE_28273
614,"4832 Morris Glen Dr, Concord, NC 28027",2295,2023-02-24,4832,DR,MORRIS GLEN,28027,4832_MORRIS GLEN_DR_28027
264,"4914 Eagle Creek Dr, Charlotte, NC 28269",2295,2023-02-25,4914,DR,EAGLE CREEK,28269,4914_EAGLE CREEK_DR_28269
498,"3604 Moorhen Dr, Charlotte, NC 28216",2295,2023-02-25,3604,DR,MOORHEN,28216,3604_MOORHEN_DR_28216
346,"2213 Shumard Cir, Indian Trail, NC 28079",2295,2023-02-24,2213,CIR,SHUMARD,28079,2213_SHUMARD_CIR_28079
499,"3604 Moorhen Lane, Charlotte, NC 28216",2295,2023-02-24,3604,LANE,MOORHEN,28216,3604_MOORHEN_LANE_28216
620,"1467 Remington Ln NW, Concord, NC 28027",2295,2023-02-24,1467,NW,REMINGTON LN,28027,1467_REMINGTON LN_NW_28027
261,"16537 Glenfurness Dr, Huntersville, NC 28078",2295,2023-02-25,16537,DR,GLENFURNESS,28078,16537_GLENFURNESS_DR_28078
14,"9322 Shepparton Dr, Huntersville, NC 28078",2295,2023-02-25,9322,DR,SHEPPARTON,28078,9322_SHEPPARTON_DR_28078
97,"9434 Darwick St, Charlotte, NC 28216",2294,2023-02-25,9434,ST,DARWICK,28216,9434_DARWICK_ST_28216
25,"5719 Falls Ridge Ln, Charlotte, NC 28269",2290,2023-02-24,5719,LN,FALLS RIDGE,28269,5719_FALLS RIDGE_LN_28269
793,"4010 Eckels Dr, Charlotte, NC 28215",2285,2023-02-25,4010,DR,ECKELS,28215,4010_ECKELS_DR_28215
223,"5032 Abercromby St, Charlotte, NC 28213",2275,2023-02-25,5032,ST,ABERCROMBY,28213,5032_ABERCROMBY_ST_28213
141,"4421 Drifter Dr, Charlotte, NC 28227",2275,2023-02-24,4421,DR,DRIFTER,28227,4421_DRIFTER_DR_28227
621,"6730 Fenning Dr, Mint Hill, NC 28227",2275,2023-02-25,6730,DR,FENNING,28227,6730_FENNING_DR_28227
36,"12201 Palomar Dr, Huntersville, NC 28078",2270,2023-02-25,12201,DR,PALOMAR,28078,12201_PALOMAR_DR_28078
540,"4334 Drifter Dr, Charlotte, NC 28227",2265,2023-02-25,4334,DR,DRIFTER,28227,4334_DRIFTER_DR_28227
